Merged_final_assignment,Plankton_classification,Taxa
Mangeliidae,Meroplankton,Meroplankton
Mantispidae,Non_plankton,Non_plankton
Marenzelleria viridis,Meroplankton,Meroplankton
Margalefidinium polykrikoides,Phytoplankton,Non_plankton
Margelopsidae,Holoplankton,Cnidaria
Marrus orthocanna,Holoplankton,Cnidaria
Marthasterias glacialis,Meroplankton,Meroplankton
Maurolicus muelleri,Meroplankton,Meroplankton
Maxmuelleria lankesteri,Meroplankton,Meroplankton
Mediomastus,Meroplankton,Meroplankton
Meganyctiphanes,Meroplankton,Meroplankton
Meganyctiphanes norvegica,Holoplankton,Euphausiidae
Megaselia,Non_plankton,Non_plankton
Megastomia conspicua,Meroplankton,Meroplankton
Meiodiscus spetsbergensis,Phytoplankton,Non_plankton
Meira,Non_plankton,Non_plankton
Melampsora,Non_plankton,Non_plankton
Melanagromyza,Non_plankton,Non_plankton
Melanella lubrica,Meroplankton,Meroplankton
Melanogrammus,Non_plankton,Non_plankton
Melanogrammus aeglefinus,Meroplankton,Meroplankton
Melarhaphe neritoides,Meroplankton,Meroplankton
Meleagris gallopavo,Non_plankton,Non_plankton
Melicertum octocostatum,Holoplankton,Cnidaria
Melinna albicincta,Meroplankton,Meroplankton
Mellitidae,Meroplankton,Meroplankton
Melosira nummuloides,Phytoplankton,Phytoplankton
Melosirales,Phytoplankton,Non_plankton
Membranipora membranacea,Meroplankton,Meroplankton
Membranoptera alata,Phytoplankton,Non_plankton
Merlangius,Meroplankton,Meroplankton
Merlangius merlangus,Meroplankton,Meroplankton
Merluccius merluccius,Meroplankton,Meroplankton
Merona cornucopiae,Holoplankton,Cnidaria
Mesocalanus tenuicornis,Holoplankton,Copepoda
Mesogloia vermiculata,Phytoplankton,Non_plankton
Mesophyllum expansum,Phytoplankton,Phytoplankton
Mesorhizobium,Non_plankton,Non_plankton
Mesostigmata,Non_plankton,Non_plankton
Metacnephia,Non_plankton,Non_plankton
Metarhizium,Non_plankton,Non_plankton
Methylococcales,Non_plankton,Non_plankton
Metridia,Holoplankton,Copepoda
Metridia longa longa,Holoplankton,Copepoda
Metridia lucens lucens,Holoplankton,Copepoda
Metridia pacifica,Holoplankton,Copepoda
Metridinidae,Holoplankton,Copepoda
Metridium senile,Meroplankton,Meroplankton
Michthyops parvus,Holoplankton,Other
Microcalanus,Holoplankton,Copepoda
Microcalanus pusillus,Holoplankton,Copepoda
Microdeutopus anomalus,Holoplankton,Amphipoda
Microgastrinae,Non_plankton,Non_plankton
Microhedyle glandulifera,Meroplankton,Meroplankton
Micromesistius poutassou,Meroplankton,Meroplankton
Micromonas,Non_plankton,Non_plankton
Micromonas pusilla,Phytoplankton,Phytoplankton
Microporella ciliata,Meroplankton,Meroplankton
Microsetella,Holoplankton,Copepoda
Microsetella norvegica,Holoplankton,Copepoda
Microspongium,Non_plankton,Non_plankton
Microspongium alariae,Phytoplankton,Phytoplankton
Microspongium stilophorae,Phytoplankton,Phytoplankton
Microstomum,Meroplankton,Meroplankton
Microstomum compositum,Meroplankton,Meroplankton
Microstomus kitt,Meroplankton,Meroplankton
Microstromatales,Non_plankton,Non_plankton
Micrura,Meroplankton,Meroplankton
Micrura fasciolata,Meroplankton,Meroplankton
Micrura varicolor,Meroplankton,Meroplankton
Mictyridae,Non_plankton,Non_plankton
Milichiidae,Non_plankton,Non_plankton
Miridae,Non_plankton,Non_plankton
Mitrocomella,Holoplankton,Cnidaria
Mitrocomella polydiademata,Holoplankton,Cnidaria
Mitrocomidae,Holoplankton,Cnidaria
Mnemiopsis leidyi,Holoplankton,Ctenophora
Modeeria rotunda,Holoplankton,Cnidaria
Modiolula phaseolina,Meroplankton,Meroplankton
Modiolus adriaticus,Meroplankton,Meroplankton
Modiolus modiolus,Meroplankton,Meroplankton
Molva molva,Meroplankton,Meroplankton
Monodopsidaceae,Phytoplankton,Phytoplankton
Monopseudocuma gilsoni,Meroplankton,Meroplankton
Monostilifera,Meroplankton,Meroplankton
Montacutidae,Non_plankton,Non_plankton
Montipora,Holoplankton,Cnidaria
Moritellaceae,Non_plankton,Non_plankton
Mucorales,Non_plankton,Non_plankton
Muggiaea atlantica,Holoplankton,Cnidaria
Munida,Meroplankton,Meroplankton
Munida rugosa,Meroplankton,Meroplankton
Munida sarsi,Meroplankton,Meroplankton
Munida tenuimana,Meroplankton,Meroplankton
Munididae,Meroplankton,Meroplankton
Munnopsidae,Meroplankton,Meroplankton
Muricidae,Meroplankton,Meroplankton
Muscoidea,Non_plankton,Non_plankton
Musculus,Meroplankton,Meroplankton
Musculus subpictus,Meroplankton,Meroplankton
Mya truncata,Meroplankton,Meroplankton
Mycetophila,Non_plankton,Non_plankton
Mycetophilidae,Non_plankton,Non_plankton
Mycetophilinae,Non_plankton,Non_plankton
Mycetophilini,Non_plankton,Non_plankton
Mychonastaceae,Phytoplankton,Non_plankton
Mycobacteriaceae,Non_plankton,Non_plankton
Mycobacteriales,Non_plankton,Non_plankton
Mycosphaerellales,Non_plankton,Non_plankton
Myrianida,Meroplankton,Meroplankton
Myrianida inermis,Meroplankton,Meroplankton
Myriapora truncata,Meroplankton,Meroplankton
Myrionema strangulans,Phytoplankton,Non_plankton
Myriotrochus (Oligotrochus) vitreus,Meroplankton,Meroplankton
Myriotrochus Oligotrochus vitreus,Meroplankton,Meroplankton
Mysidae,Holoplankton,Other
Mysini,Non_plankton,Non_plankton
Mytilida,Meroplankton,Meroplankton
Mytilidae,Meroplankton,Meroplankton
Mytilus,Meroplankton,Meroplankton
Mytilus edulis,Meroplankton,Meroplankton
Mytilus galloprovincialis,Meroplankton,Meroplankton
Mytilus trossulus,Meroplankton,Meroplankton
Nacerdes,Non_plankton,Non_plankton
Naganishia,Non_plankton,Non_plankton
Nannochloropsis limnetica,Phytoplankton,Phytoplankton
Nanomia,Holoplankton,Cnidaria
Nanomia cara,Holoplankton,Cnidaria
Narcomedusae,Holoplankton,Cnidaria
Navicula,Phytoplankton,Phytoplankton
Naviculaceae,Phytoplankton,Phytoplankton
Naviculales,Phytoplankton,Phytoplankton
Neanthes fucata,Meroplankton,Meroplankton
Necora puber,Meroplankton,Meroplankton
Nemaliales,Phytoplankton,Non_plankton
Nematocera,Non_plankton,Non_plankton
Nemertesia,Holoplankton,Cnidaria
Nemertesia ramosa,Holoplankton,Cnidaria
Neocalanus gracilis,Holoplankton,Copepoda
Neoceratium symmetricum,Phytoplankton,Phytoplankton
Neogastropoda,Meroplankton,Meroplankton
Neogyptis rosea,Meroplankton,Meroplankton
Neoleanira tetragona,Meroplankton,Meroplankton
Neomenia carinata,Meroplankton,Meroplankton
Neomphalida,Meroplankton,Meroplankton
Nephropidae,Meroplankton,Meroplankton
Nephrops,Meroplankton,Meroplankton
Nephrops norvegicus,Meroplankton,Meroplankton
Nephtys,Meroplankton,Meroplankton
Nephtys assimilis,Meroplankton,Meroplankton
Nephtys cirrosa,Meroplankton,Meroplankton
Nephtys hombergii,Meroplankton,Meroplankton
Nephtys hystricis,Meroplankton,Meroplankton
Nephtys kersivalensis,Meroplankton,Meroplankton
Nereididae,Meroplankton,Meroplankton
Nereimyra,Meroplankton,Meroplankton
Nereimyra punctata,Meroplankton,Meroplankton
Nereimyra woodsholea,Meroplankton,Meroplankton
Nereis,Meroplankton,Meroplankton
Nereis elitoralis,Meroplankton,Meroplankton
Neritidae,Meroplankton,Meroplankton
Neuroptera,Non_plankton,Non_plankton
Nicolea zostericola,Meroplankton,Meroplankton
Nicrophorus,Non_plankton,Non_plankton
Niphargidae,Holoplankton,Amphipoda
Niphatidae,Meroplankton,Meroplankton
Nitrobacteraceae,Non_plankton,Non_plankton
Nitrosomonadales,Non_plankton,Non_plankton
Nitzschia,Phytoplankton,Phytoplankton
Noctiluca scintillans,Phytoplankton,Phytoplankton
Noctuidae,Non_plankton,Non_plankton
Noctuoidea,Non_plankton,Non_plankton
Nothophytophthora,Non_plankton,Non_plankton
Nothria conchylega,Meroplankton,Meroplankton
Notocotylidae,Non_plankton,Non_plankton
Notodelphyidae,Holoplankton,Copepoda
Notodontidae,Non_plankton,Non_plankton
Nudibranchia,Meroplankton,Meroplankton
Nusuttodinium,Phytoplankton,Non_plankton
Nyctiphanes couchii,Holoplankton,Euphausiidae
Nymphalidae,Non_plankton,Non_plankton
Obelia,Holoplankton,Cnidaria
Obelia dichotoma,Holoplankton,Cnidaria
Obelia geniculata,Holoplankton,Cnidaria
Obelia longissima,Holoplankton,Cnidaria
Obeliidae,Holoplankton,Cnidaria
Obtusella intersecta,Meroplankton,Meroplankton
Obtusoecia,Holoplankton,Ostracoda
Obtusoecia antarctica,Holoplankton,Ostracoda
Oceanospirillales,Non_plankton,Non_plankton
Octactis speculum,Phytoplankton,Phytoplankton
Odonata,Non_plankton,Non_plankton
Odontella regia,Phytoplankton,Phytoplankton
Odonthalia dentata,Phytoplankton,Phytoplankton
Odontoceti,Non_plankton,Non_plankton
Odostomia,Meroplankton,Meroplankton
Odostomia turrita,Meroplankton,Meroplankton
Oecophoridae,Non_plankton,Non_plankton
Oedicerotidae,Holoplankton,Amphipoda
Oegopsida,Meroplankton,Meroplankton
Oithona,Holoplankton,Copepoda
Oithona atlantica,Holoplankton,Oithona
Oithona nana,Holoplankton,Oithona
Oithona similis,Holoplankton,Oithona
Oithonidae,Holoplankton,Copepoda
Okenia,Meroplankton,Meroplankton
Okenia aspersa,Meroplankton,Meroplankton
Okenia nodosa,Meroplankton,Meroplankton
Olividae,Non_plankton,Non_plankton
Oncaea,Holoplankton,Copepoda
Oncaea curta,Holoplankton,Copepoda
Oncaea mediterranea,Holoplankton,Copepoda
Oncaea waldemari,Holoplankton,Copepoda
Oncaeidae,Holoplankton,Copepoda
Onchidoris bilamellata,Meroplankton,Meroplankton
Onchidoris muricata,Meroplankton,Meroplankton
Onchoproteocephalidea,Non_plankton,Non_plankton
Onoba semicostata,Meroplankton,Meroplankton
Onychiuroides,Non_plankton,Non_plankton
Onygenales,Non_plankton,Non_plankton
Oomycota,Non_plankton,Non_plankton
Ophiacantha abyssicola,Meroplankton,Meroplankton
Ophiactis abyssicola,Meroplankton,Meroplankton
Ophiactis balli,Meroplankton,Meroplankton
Ophiocomina nigra,Meroplankton,Meroplankton
Ophiocordycipitaceae,Non_plankton,Non_plankton
Ophiocten affinis,Meroplankton,Meroplankton
Ophiocten gracilis,Meroplankton,Meroplankton
Ophiopholis aculeata,Meroplankton,Meroplankton
Ophioscolecida,Meroplankton,Meroplankton
Ophioscolex glacialis,Meroplankton,Meroplankton
Ophiostomataceae,Non_plankton,Non_plankton
Ophiothrix fragilis,Meroplankton,Meroplankton
Ophiura,Meroplankton,Meroplankton
Ophiura albida,Meroplankton,Meroplankton
Ophiura Dictenophiura carnea,Meroplankton,Meroplankton
Ophiura ophiura,Meroplankton,Meroplankton
Ophiura robusta,Meroplankton,Meroplankton
Ophiura sarsii,Meroplankton,Meroplankton
Ophiuridae,Meroplankton,Meroplankton
Oratosquilla,Meroplankton,Meroplankton
Orbinia sertulata,Meroplankton,Meroplankton
Orchomenella obtusa,Holoplankton,Amphipoda
Orculidae,Meroplankton,Meroplankton
Oregoniidae,Meroplankton,Meroplankton
Oridorsalis umbonatus,Non_plankton,Non_plankton
Orthalicidae,Meroplankton,Meroplankton
Orthoptera,Non_plankton,Non_plankton
Orthopyxis integra,Holoplankton,Cnidaria
Oscarellidae,Meroplankton,Meroplankton
Osteoglossiformes,Meroplankton,Meroplankton
Ostreida,Meroplankton,Meroplankton
Ostropales,Non_plankton,Non_plankton
Ovactis brasiliensis,Meroplankton,Meroplankton
Ovis aries,Non_plankton,Non_plankton
Owenia fusiformis,Meroplankton,Meroplankton
Oweniidae,Meroplankton,Meroplankton
Oxalobacteraceae,Non_plankton,Non_plankton
Oxypolia beaumontiana,Meroplankton,Meroplankton
Paederinae,Non_plankton,Non_plankton
Pagophilus groenlandicus,Non_plankton,Non_plankton
Paguridae,Meroplankton,Meroplankton
Paguroidea,Non_plankton,Non_plankton
Pagurus,Meroplankton,Meroplankton
Pagurus bernhardus,Meroplankton,Meroplankton
Pagurus cuanensis,Meroplankton,Meroplankton
Pagurus prideaux,Meroplankton,Meroplankton
Pagurus pubescens,Meroplankton,Meroplankton
Palio dubia,Meroplankton,Meroplankton
Palio nothus,Meroplankton,Meroplankton
Palliolum,Meroplankton,Meroplankton
Palliolum tigerinum,Meroplankton,Meroplankton
Palmaria palmata,Phytoplankton,Phytoplankton
Palmariaceae,Non_plankton,Non_plankton
Pandalidae,Meroplankton,Meroplankton
Pandalina,Meroplankton,Meroplankton
Pandalina brevirostris,Meroplankton,Meroplankton
Pandalus,Meroplankton,Meroplankton
Pandalus borealis,Meroplankton,Meroplankton
Pandalus eous,Meroplankton,Meroplankton
Pandalus jordani,Meroplankton,Meroplankton
Pandalus montagui,Meroplankton,Meroplankton
Pandeidae,Holoplankton,Cnidaria
Panningia hyndmani,Meroplankton,Meroplankton
Panomya norvegica,Meroplankton,Meroplankton
Papilionidae,Non_plankton,Non_plankton
Papillicardium minimum,Meroplankton,Meroplankton
Paracalanidae,Holoplankton,Copepoda
Paracalanus,Holoplankton,Copepoda
Paracalanus parvus parvus,Holoplankton,Copepoda
Paracalanus quasimodo,Holoplankton,Copepoda
Paracentrotus lividus,Meroplankton,Meroplankton
Paracoccaceae,Non_plankton,Non_plankton
Paradiopatra quadricuspis,Meroplankton,Meroplankton
Paraeuchaeta,Holoplankton,Copepoda
Paraeuchaeta hebes,Holoplankton,Copepoda
Paraeuchaeta norvegica,Holoplankton,Copepoda
Paragorgia,Meroplankton,Meroplankton
Parajassa pelagica,Holoplankton,Amphipoda
Paraleptopentacta elongata,Meroplankton,Meroplankton
Paramoeba,Non_plankton,Non_plankton
Paramoeba perurans,Non_plankton,Non_plankton
Paramphinome,Meroplankton,Meroplankton
Paramphinome jeffreysii,Meroplankton,Meroplankton
Paramuricea macrospina,Meroplankton,Meroplankton
Paramyia,Non_plankton,Non_plankton
Parasagitta,Holoplankton,Chaetognatha
Parasagitta elegans,Holoplankton,Chaetognatha
Parasagitta setosa,Holoplankton,Chaetognatha
Parastichopus tremulus,Meroplankton,Meroplankton
Parateclaia norvegica,Holoplankton,Cnidaria
Parathalestris clausi,Holoplankton,Copepoda
Parathalestris croni,Holoplankton,Copepoda
Parathalestris harpactoides,Holoplankton,Copepoda
Paravannella minima,Non_plankton,Non_plankton
Parengyodontium,Non_plankton,Non_plankton
Parengyodontium album,Non_plankton,Non_plankton
Parthenina interstincta,Meroplankton,Meroplankton
Partula,Non_plankton,Non_plankton
Partulidae,Meroplankton,Meroplankton
Pasiphaea,Meroplankton,Meroplankton
Pasiphaea multidentata,Meroplankton,Meroplankton
Pasiphaea sivado,Meroplankton,Meroplankton
Pasiphaea tarda,Meroplankton,Meroplankton
Pasiphaeidae,Meroplankton,Meroplankton
Passeriformes,Non_plankton,Non_plankton
Paucibranchia bellii,Meroplankton,Meroplankton
Pecten maximus,Meroplankton,Meroplankton
Pectinida,Meroplankton,Meroplankton
Pectinidae,Meroplankton,Meroplankton
Pelagomonas calceolata,Phytoplankton,Phytoplankton
Peltogaster curvata,Meroplankton,Meroplankton
Peltogaster paguri,Non_plankton,Non_plankton
Penicillium,Non_plankton,Non_plankton
Penicillium canescens,Non_plankton,Non_plankton
Penicillium chrysogenum,Non_plankton,Non_plankton
Penicillium digitatum,Non_plankton,Non_plankton
Penicillium waksmanii,Non_plankton,Non_plankton
Pentamera,Meroplankton,Meroplankton
Perciformes,Meroplankton,Meroplankton
Peridiniaceae,Phytoplankton,Phytoplankton
Peridinium inconspicuum,Phytoplankton,Phytoplankton
Peringia ulvae,Meroplankton,Meroplankton
Periphylla periphylla,Holoplankton,Cnidaria
Periphyllidae,Holoplankton,Cnidaria
Peronosporaceae,Non_plankton,Non_plankton
Peronosporales,Non_plankton,Non_plankton
Perophora sagamiensis,Phytoplankton,Non_plankton
Petalonia fascia,Phytoplankton,Phytoplankton
Petrolisthes,Meroplankton,Meroplankton
Peyssonnelia,Phytoplankton,Phytoplankton
Peyssonnelia rubra,Phytoplankton,Phytoplankton
Peyssonneliaceae,Phytoplankton,Phytoplankton
Peyssonneliales,Phytoplankton,Non_plankton
Pfiesteria piscicida,Phytoplankton,Phytoplankton
Phaeocystaceae,Phytoplankton,Phytoplankton
Phaeocystales,Non_plankton,Non_plankton
Phaeocystis,Phytoplankton,Phytoplankton
Phaeocystis globosa,Phytoplankton,Phytoplankton
Phaeodactylum tricornutum,Phytoplankton,Phytoplankton
Phalacrocorax carbo,Non_plankton,Non_plankton
Phallusia ingeria,Meroplankton,Meroplankton
Pharidae,Meroplankton,Meroplankton
Phaxas pellucidus,Meroplankton,Meroplankton
Philine,Meroplankton,Meroplankton
Philine quadripartita,Meroplankton,Meroplankton
Philinidae,Meroplankton,Meroplankton
Philinissima denticulata,Meroplankton,Meroplankton
Philocheras,Meroplankton,Meroplankton
Philocheras bispinosus,Meroplankton,Meroplankton
Philocheras echinulatus,Meroplankton,Meroplankton
Phlebobranchia,Meroplankton,Meroplankton
Phocoena,Non_plankton,Non_plankton
Phocoena phocoena,Non_plankton,Non_plankton
Pholas dactylus,Meroplankton,Meroplankton
Pholidoskepia,Non_plankton,Non_plankton
Pholoe assimilis,Meroplankton,Meroplankton
Pholoe baltica,Meroplankton,Meroplankton
Phoridae,Non_plankton,Non_plankton
Phoronis muelleri,Meroplankton,Meroplankton
Phoronis pallida,Meroplankton,Meroplankton
Photidae,Holoplankton,Amphipoda
Photis,Holoplankton,Amphipoda
Phycodrys rubens,Phytoplankton,Phytoplankton
Phyllobacteriaceae,Non_plankton,Non_plankton
Phyllodoce,Meroplankton,Meroplankton
Phyllodoce groenlandica,Meroplankton,Meroplankton
Phyllodoce lineata,Meroplankton,Meroplankton
Phyllodoce maculata,Meroplankton,Meroplankton
Phyllodoce madeirensis,Meroplankton,Meroplankton
Phyllodoce mucosa,Meroplankton,Meroplankton
Phyllodoce rosea,Meroplankton,Meroplankton
Phyllodocida,Meroplankton,Meroplankton
Phyllodocidae,Meroplankton,Meroplankton
Phyllophora pseudoceranoïdes,Phytoplankton,Phytoplankton
Phylo,Meroplankton,Meroplankton
Phylo norvegica,Meroplankton,Meroplankton
Phymatolithon,Phytoplankton,Non_plankton
Phymatolithon purpureum,Phytoplankton,Phytoplankton
Physophora hydrostatica,Holoplankton,Cnidaria
Phytocoris,Non_plankton,Non_plankton
Phytomyptera,Non_plankton,Non_plankton
Phytomyzinae,Non_plankton,Non_plankton
Phytophthora,Non_plankton,Non_plankton
Phytopythium,Non_plankton,Non_plankton
Phytoseiidae,Non_plankton,Non_plankton
Pilumnidae,Meroplankton,Meroplankton
Pilumnus hirtellus,Meroplankton,Meroplankton
Pinalitus atomarius,Non_plankton,Non_plankton
Pinnularia,Phytoplankton,Phytoplankton
Pipistrellus pygmaeus,Non_plankton,Non_plankton
Pipunculidae,Non_plankton,Non_plankton
Pirimela,Meroplankton,Meroplankton
Pirimela denticulata,Meroplankton,Meroplankton
Pisidia,Meroplankton,Meroplankton
Pisidia longicornis,Meroplankton,Meroplankton
Pisione remota,Meroplankton,Meroplankton
Pista cristata,Meroplankton,Meroplankton
Placida dendritica,Meroplankton,Meroplankton
Plagiorchiida,Meroplankton,Meroplankton
Planorbidae,Meroplankton,Meroplankton
Planosiphon,Phytoplankton,Phytoplankton
Plantaginaceae,Non_plankton,Non_plankton
Platichthys flesus,Meroplankton,Meroplankton
Platygastridae,Non_plankton,Non_plankton
Platypleura,Non_plankton,Non_plankton
Platyrrhini,Non_plankton,Non_plankton
Plecoptera,Non_plankton,Non_plankton
Pleocyemata,Meroplankton,Meroplankton
Pleopis polyphemoides,Holoplankton,Cladocera
Pleurobrachia pileus,Holoplankton,Ctenophora
Pleurobranchus membranaceus,Meroplankton,Meroplankton
Pleuromamma gracilis gracilis,Holoplankton,Copepoda
Pleuromamma robusta robusta,Holoplankton,Copepoda
Pleuronectes platessa,Meroplankton,Meroplankton
Pleurosigmataceae,Phytoplankton,Non_plankton
Plocamiales,Non_plankton,Non_plankton
Plocamium,Phytoplankton,Non_plankton
Plocamium lyngbyanum,Phytoplankton,Phytoplankton
Ploima,Holoplankton,Other
Plotocnide borealis,Holoplankton,Cnidaria
Plumaria plumosa,Phytoplankton,Non_plankton
Plumulariidae,Holoplankton,Cnidaria
Pneumodermatidae,Meroplankton,Meroplankton
Poaceae,Non_plankton,Non_plankton
Pocillopora,Non_plankton,Non_plankton
Pocilloporidae,Holoplankton,Cnidaria
Pococera,Non_plankton,Non_plankton
Podocoryna,Holoplankton,Cnidaria
Podocoryna areolata,Holoplankton,Cnidaria
Podocoryna borealis,Holoplankton,Cnidaria
Podon intermedius,Holoplankton,Cladocera
Podon leuckartii,Holoplankton,Cladocera
Podosira stelligera,Phytoplankton,Non_plankton
Poduromorpha,Non_plankton,Non_plankton
Poecilochaetus serpens,Meroplankton,Meroplankton
Poecilosclerida,Meroplankton,Meroplankton
Pogotrichum filiforme,Phytoplankton,Non_plankton
Polititapes rhomboides,Meroplankton,Meroplankton
Pollachius pollachius,Meroplankton,Meroplankton
Pollachius virens,Meroplankton,Meroplankton
Polybiidae,Meroplankton,Meroplankton
Polybius depurator,Meroplankton,Meroplankton
Polybius holsatus,Meroplankton,Meroplankton
Polybius marmoreus,Meroplankton,Meroplankton
Polybius navigator,Meroplankton,Meroplankton
Polybius pusillus,Meroplankton,Meroplankton
Polybrachiorhynchidae,Meroplankton,Meroplankton
Polycarpa pomaria,Phytoplankton,Phytoplankton
Polycera norvegica,Meroplankton,Meroplankton
Polycera quadrilineata,Meroplankton,Meroplankton
Polychaeta,Meroplankton,Meroplankton
Polycirrus arcticus,Meroplankton,Meroplankton
Polycirrus norvegicus,Meroplankton,Meroplankton
Polydesmida,Non_plankton,Non_plankton
Polydora,Meroplankton,Meroplankton
Polydora onagawaensis,Meroplankton,Meroplankton
Polygordiidae,Meroplankton,Meroplankton
Polygordius appendiculatus,Meroplankton,Meroplankton
Polygordius lacteus,Meroplankton,Meroplankton
Polymastiidae,Meroplankton,Meroplankton
Polynoidae,Meroplankton,Meroplankton
Polyphaga,Non_plankton,Non_plankton
Polyporales,Non_plankton,Non_plankton
Polysiphonia atlantica,Phytoplankton,Phytoplankton
Polysiphonia stricta,Phytoplankton,Phytoplankton
Pomatiidae,Meroplankton,Meroplankton
Ponerini,Non_plankton,Non_plankton
Pontellidae,Holoplankton,Copepoda
Pontophilus,Meroplankton,Meroplankton
Pontophilus norvegicus,Meroplankton,Meroplankton
Pontophilus spinosus,Meroplankton,Meroplankton
Porania Porania pulvillus,Meroplankton,Meroplankton
Porcellio,Meroplankton,Meroplankton
Porphyra,Phytoplankton,Phytoplankton
Porphyra umbilicalis,Phytoplankton,Phytoplankton
Portunidae,Meroplankton,Meroplankton
Potamidae,Meroplankton,Meroplankton
Praon,Non_plankton,Non_plankton
Primates,Non_plankton,Non_plankton
Primnoa pacifica,Meroplankton,Meroplankton
Primnoidae,Holoplankton,Cnidaria
Prionospio,Meroplankton,Meroplankton
Prionospio cirrifera,Meroplankton,Meroplankton
Prionospio dubia,Meroplankton,Meroplankton
Prionospio fallax,Meroplankton,Meroplankton
Prionospio plumosa,Meroplankton,Meroplankton
Processa,Meroplankton,Meroplankton
Processa modica,Meroplankton,Meroplankton
Processa nouveli,Meroplankton,Meroplankton
Processidae,Meroplankton,Meroplankton
Prorocentraceae,Phytoplankton,Phytoplankton
Prorocentrales,Phytoplankton,Non_plankton
Prorocentrum,Phytoplankton,Non_plankton
Prorocentrum lima,Phytoplankton,Phytoplankton
Prorocentrum micans,Phytoplankton,Phytoplankton
Protentomidae,Non_plankton,Non_plankton
Protichneumon jesperi,Non_plankton,Non_plankton
Protodinium simplex,Phytoplankton,Phytoplankton
Protodrilus,Meroplankton,Meroplankton
Protoptilum carpenterii,Meroplankton,Meroplankton
Protula pacifica,Meroplankton,Meroplankton
Proxenus lepigone,Non_plankton,Non_plankton
Prymnesiaceae,Phytoplankton,Non_plankton
Prymnesiales,Phytoplankton,Non_plankton
Psammechinus miliaris,Meroplankton,Meroplankton
Psathyrellaceae,Non_plankton,Non_plankton
Pseudamussium peslutrae,Meroplankton,Meroplankton
Pseudeurotiaceae,Non_plankton,Non_plankton
Pseudo-nitzschia,Phytoplankton,Phytoplankton
Pseudo-nitzschia delicatissima,Phytoplankton,Phytoplankton
Pseudo-nitzschia plurisecta,Phytoplankton,Phytoplankton
Pseudo-nitzschia pungens,Phytoplankton,Phytoplankton
Pseudoalteromonadaceae,Non_plankton,Non_plankton
Pseudoalteromonas,Non_plankton,Non_plankton
Pseudocalanus,Holoplankton,Copepoda
Pseudocalanus acuspes,Holoplankton,Pseudocalanus
Pseudocalanus elongatus,Holoplankton,Pseudocalanus
Pseudocalanus major,Holoplankton,Pseudocalanus
Pseudocalanus mimus,Holoplankton,Pseudocalanus
Pseudocalanus minutus,Holoplankton,Pseudocalanus
Pseudocalanus moultoni,Holoplankton,Pseudocalanus
Pseudocalanus newmani,Holoplankton,Copepoda
Pseudochattonella farcimen,Phytoplankton,Phytoplankton
Pseudocumatidae,Holoplankton,Other
Pseudogymnoascus,Non_plankton,Non_plankton
Pseudomicrura afzelii,Meroplankton,Meroplankton
Pseudomonadaceae,Non_plankton,Non_plankton
Pseudomonadales,Non_plankton,Non_plankton
Pseudomonas,Non_plankton,Non_plankton
Pseudonitzschia multiseries,Phytoplankton,Phytoplankton
Pseudopolydora,Meroplankton,Meroplankton
Pseudosagitta lyra,Holoplankton,Chaetognatha
Pseudoscourfieldia marina,Non_plankton,Non_plankton
Pseudothyone raphanus,Meroplankton,Meroplankton
Psilaster,Meroplankton,Meroplankton
Psilaster acuminatus,Non_plankton,Non_plankton
Psilaster andromeda,Non_plankton,Non_plankton
Psocodea,Non_plankton,Non_plankton
Psolus phantapus,Meroplankton,Meroplankton
Psychodidae,Non_plankton,Non_plankton
Psyllidae,Non_plankton,Non_plankton
Pterogorgia,Non_plankton,Non_plankton
Pteromalidae,Non_plankton,Non_plankton
Pteropoda,Meroplankton,Meroplankton
Pterothamnion plumula,Phytoplankton,Phytoplankton
Ptilota gunneri,Phytoplankton,Phytoplankton
Ptychogastria,Holoplankton,Cnidaria
Ptychogastria polaris,Holoplankton,Cnidaria
Ptychogena,Holoplankton,Cnidaria
Ptychogena crocea,Holoplankton,Cnidaria
Punctaria,Non_plankton,Non_plankton
Purpureocillium lilacinum,Non_plankton,Non_plankton
Pusillina,Meroplankton,Meroplankton
Pusillina inconspicua,Meroplankton,Meroplankton
Pycnococcaceae,Non_plankton,Non_plankton
Pycnococcus provasolii,Phytoplankton,Phytoplankton
Pylaiella littoralis,Phytoplankton,Phytoplankton
Pylaiella washingtoniensis,Phytoplankton,Phytoplankton
Pyraloidea,Non_plankton,Non_plankton
Pyramimonadales,Non_plankton,Non_plankton
Pyrenomonadaceae,Non_plankton,Non_plankton
Pyrenomonadales,Non_plankton,Non_plankton
Pyrgisculus jeffreysii,Meroplankton,Meroplankton
Pyrgiscus rufescens,Meroplankton,Meroplankton
Pyripora catenularia,Meroplankton,Meroplankton
Pyropia,Non_plankton,Non_plankton
Pyropia haitanensis,Non_plankton,Non_plankton
Pyrunculus ovatus,Meroplankton,Meroplankton
Pythiaceae,Non_plankton,Non_plankton
Pythiales,Non_plankton,Non_plankton
Pythium,Non_plankton,Non_plankton
Ralfsiales,Phytoplankton,Non_plankton
Raniceps raninus,Meroplankton,Meroplankton
Raphitoma,Meroplankton,Meroplankton
Raphitomidae,Meroplankton,Meroplankton
Raspailiidae,Meroplankton,Meroplankton
Rathkea,Holoplankton,Cnidaria
Rathkea octopunctata,Holoplankton,Cnidaria
Rathkeidae,Holoplankton,Cnidaria
Reesa vespulae,Non_plankton,Non_plankton
