"","MIN","total_reads","no_samples","parent_MIN","type","rank"
"5879","MZP_000003239",33,13,"MZP_000003239","parent",1929
"5880","MZP_000003241",47,11,"MZP_000003241","parent",1660
"5881","MZP_000003242",9,4,"MZP_000003242","parent",3311
"5882","MZP_000003243",20,5,"MZP_000003243","parent",2361
"5883","MZP_000003244",66,7,"MZP_000003244","parent",1460
"5884","MZP_000003245",91,3,"MZP_000003245","parent",1290
"5885","MZP_000003246",19,3,"MZP_000003246","parent",2439
"5886","MZP_000003247",5,3,"MZP_000003247","parent",4261
"5887","MZP_000003248",7,1,"MZP_000003248","parent",3749
"5888","MZP_000003250",333,23,"MZP_000003250","parent",761
"5889","MZP_000003251",78,6,"MZP_000003251","parent",1359
"5890","MZP_000003252",39,9,"MZP_000003252","parent",1803
"5891","MZP_000003253",5,3,"MZP_000003253","parent",4262
"5892","MZP_000003254",10,2,"MZP_000003254","parent",3167
"5893","MZP_000003255",15,2,"MZP_000003255","parent",2697
"5894","MZP_000003256",25,4,"MZP_000003256","parent",2176
"5895","MZP_000003257",12,4,"MZP_000003257","parent",2903
"5896","MZP_000003259",223,22,"MZP_000003259","parent",894
"5897","MZP_000003260",13,5,"MZP_000003260","parent",2827
"5898","MZP_000003261",5,2,"MZP_000003261","parent",4298
"5899","MZP_000003262",23,3,"MZP_000003262","parent",2245
"5900","MZP_000003264",9,2,"MZP_000003262","pseudogene",3344
"5901","MZP_000003263",25,6,"MZP_000003263","parent",2170
"5902","MZP_000003265",37,5,"MZP_000003265","parent",1849
"5903","MZP_000003023",8,2,"MZP_000003265","pseudogene",3483
"5904","MZP_000003266",70,10,"MZP_000003266","parent",1427
"5905","MZP_000003267",6,5,"MZP_000003267","parent",3804
"5906","MZP_000003269",29,4,"MZP_000003269","parent",2054
"5907","MZP_000003272",29,5,"MZP_000003272","parent",2053
"5908","MZP_000003276",67,3,"MZP_000003276","parent",1452
"5909","MZP_000003277",49,4,"MZP_000003277","parent",1638
"5910","MZP_000003278",10,2,"MZP_000003278","parent",3168
"5911","MZP_000003282",52,8,"MZP_000003282","parent",1596
"5912","MZP_000003283",54,2,"MZP_000003283","parent",1580
"5913","MZP_000003284",10,3,"MZP_000003284","parent",3133
"5914","MZP_000003286",116,22,"MZP_000003286","parent",1157
"5915","MZP_000002537",5,1,"MZP_000003286","pseudogene",4357
"5916","MZP_000013339",2,1,"MZP_000003286","pseudogene",10444
"5917","MZP_000013378",2,1,"MZP_000003286","pseudogene",10461
"5918","MZP_000013726",2,1,"MZP_000003286","pseudogene",10592
"5919","MZP_000003287",32,9,"MZP_000003287","parent",1954
"5920","MZP_000003289",11,5,"MZP_000003289","parent",3016
"5921","MZP_000003291",19,2,"MZP_000003291","parent",2445
"5922","MZP_000003293",12,7,"MZP_000003293","parent",2878
"5923","MZP_000003294",6,1,"MZP_000003294","parent",4020
"5924","MZP_000003295",5,2,"MZP_000003295","parent",4299
"5925","MZP_000003296",5,1,"MZP_000003296","parent",4373
"5926","MZP_000003297",15,6,"MZP_000003297","parent",2659
"5927","MZP_000003298",11,2,"MZP_000003298","parent",3057
"5928","MZP_000003300",30,6,"MZP_000003300","parent",2025
"5929","MZP_000003301",60,11,"MZP_000003301","parent",1503
"5930","MZP_000003302",20,1,"MZP_000003302","parent",2402
"5931","MZP_000003304",508,34,"MZP_000003304","parent",655
"5932","MZP_000003305",217,27,"MZP_000003305","parent",906
"5933","MZP_000003323",5,1,"MZP_000003305","pseudogene",4375
"5934","MZP_000013374",2,1,"MZP_000003305","pseudogene",10460
"5935","MZP_000003306",21,3,"MZP_000003306","parent",2336
"5936","MZP_000003307",27,6,"MZP_000003307","parent",2108
"5937","MZP_000003309",12,3,"MZP_000003309","parent",2912
"5938","MZP_000003312",95,8,"MZP_000003312","parent",1265
"5939","MZP_000003313",10,1,"MZP_000003313","parent",3221
"5940","MZP_000003314",34,12,"MZP_000003314","parent",1892
"5941","MZP_000003316",229,13,"MZP_000003316","parent",884
